2025-11-14 16:08:19,539 INFO    MainThread:785350 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_setup.py:_flush():81] Configure stats pid to 785350
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_setup.py:_flush():81] Loading settings from /root/.config/wandb/settings
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_setup.py:_flush():81] Loading settings from /workspace/colcon_ws/wandb/settings
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /workspace/colcon_ws/src/stonefish_control/stonefish_control_utils/config/optimizer/output/wandb/run-20251114_160819-blmwedqf/logs/debug.log
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /workspace/colcon_ws/src/stonefish_control/stonefish_control_utils/config/optimizer/output/wandb/run-20251114_160819-blmwedqf/logs/debug-internal.log
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_init.py:init():833] calling init triggers
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'optimizer': 'GWO', 'test_duration': 10.0, 'vehicle': 'bluerov2', 'cost_function': 'itae', 'weights': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'lambda_smoothness': 0.1, 'n_scenarios': 1, '_wandb': {}}
2025-11-14 16:08:19,540 INFO    MainThread:785350 [wandb_init.py:init():881] starting backend
2025-11-14 16:08:19,751 INFO    MainThread:785350 [wandb_init.py:init():884] sending inform_init request
2025-11-14 16:08:19,758 INFO    MainThread:785350 [wandb_init.py:init():892] backend started and connected
2025-11-14 16:08:19,762 INFO    MainThread:785350 [wandb_init.py:init():962] updated telemetry
2025-11-14 16:08:19,764 INFO    MainThread:785350 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-14 16:08:20,499 INFO    MainThread:785350 [wandb_init.py:init():1033] starting run threads in backend
2025-11-14 16:08:20,579 INFO    MainThread:785350 [wandb_run.py:_console_start():2506] atexit reg
2025-11-14 16:08:20,579 INFO    MainThread:785350 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-14 16:08:20,579 INFO    MainThread:785350 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-14 16:08:20,579 INFO    MainThread:785350 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-14 16:08:20,580 INFO    MainThread:785350 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-14 16:11:38,589 INFO    MainThread:785350 [wandb_run.py:_finish():2272] finishing run luckkim123-postech/pid-tuning/blmwedqf
2025-11-14 16:11:38,590 INFO    MainThread:785350 [wandb_run.py:_atexit_cleanup():2471] got exitcode: 0
2025-11-14 16:11:38,591 INFO    MainThread:785350 [wandb_run.py:_restore():2453] restore
2025-11-14 16:11:38,591 INFO    MainThread:785350 [wandb_run.py:_restore():2459] restore done
2025-11-14 16:11:38,774 INFO    wandb-AsyncioManager-main:785350 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-14 16:11:38,774 INFO    wandb-AsyncioManager-main:785350 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
